epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,483.775,0.79143,0.38983,0.91544,0.97778,0.96662,0.98972,0.75071,0.95751,0.42883,0.95807,0.00082576,0.00082576,0.00082576
90,488.514,0.79216,0.39981,0.9125,0.98114,0.96544,0.98939,0.74351,0.99536,0.41783,0.96313,0.00082378,0.00082378,0.00082378
91,493.237,0.78682,0.39001,0.91509,0.98035,0.97612,0.99139,0.74581,0.95927,0.39971,0.95922,0.0008218,0.0008218,0.0008218
92,497.971,0.77875,0.39151,0.91027,0.91238,0.8974,0.96048,0.69714,1.07595,0.57325,1.00223,0.00081982,0.00081982,0.00081982
93,502.703,0.77785,0.38389,0.90802,0.97008,0.98915,0.99241,0.75633,0.95329,0.40584,0.9573,0.00081784,0.00081784,0.00081784
94,507.463,0.79426,0.3916,0.91589,0.97702,0.97353,0.98974,0.74223,0.98653,0.41362,0.96551,0.00081586,0.00081586,0.00081586
95,512.175,0.78444,0.39041,0.90976,0.97918,0.97701,0.98907,0.75312,0.95118,0.38888,0.95687,0.00081388,0.00081388,0.00081388
96,516.908,0.77849,0.38891,0.9198,0.98017,0.96412,0.99029,0.73585,1.02546,0.42383,0.98805,0.0008119,0.0008119,0.0008119
97,521.659,0.78529,0.38763,0.91178,0.97804,0.97039,0.9913,0.74793,0.96274,0.41639,0.96687,0.00080992,0.00080992,0.00080992
98,526.412,0.76226,0.38568,0.90803,0.97645,0.98199,0.99055,0.74202,0.96247,0.43132,0.96071,0.00080794,0.00080794,0.00080794
99,531.152,0.77419,0.38814,0.90903,0.98169,0.97756,0.99132,0.75532,0.94028,0.3894,0.9532,0.00080596,0.00080596,0.00080596
100,535.929,0.77495,0.38107,0.91285,0.98126,0.97034,0.9898,0.7446,0.96219,0.43461,0.95765,0.00080398,0.00080398,0.00080398
101,540.703,0.78993,0.38896,0.91712,0.97666,0.97581,0.99144,0.75071,0.95098,0.40844,0.95502,0.000802,0.000802,0.000802
102,545.635,0.75931,0.37591,0.90446,0.97391,0.97646,0.99167,0.74047,0.97402,0.39856,0.96611,0.00080002,0.00080002,0.00080002
103,550.395,0.75342,0.37959,0.89814,0.97593,0.94695,0.98883,0.74069,0.99334,0.45357,0.96681,0.00079804,0.00079804,0.00079804
104,555.204,0.76173,0.38616,0.90364,0.97929,0.98257,0.99166,0.75165,0.97065,0.39771,0.96291,0.00079606,0.00079606,0.00079606
105,559.977,0.75964,0.39096,0.90644,0.9735,0.96964,0.98819,0.73641,0.99221,0.43433,0.97257,0.00079408,0.00079408,0.00079408
106,564.773,0.75505,0.38706,0.89482,0.97545,0.97492,0.98974,0.74652,0.97006,0.41201,0.96633,0.0007921,0.0007921,0.0007921
107,569.807,0.75501,0.38335,0.89798,0.96831,0.97516,0.98944,0.74985,0.95467,0.40091,0.96162,0.00079012,0.00079012,0.00079012
108,576.335,0.75945,0.38636,0.89843,0.98236,0.97214,0.98765,0.74336,0.97997,0.39883,0.96169,0.00078814,0.00078814,0.00078814
109,582.937,0.73975,0.37319,0.88761,0.95268,0.94247,0.9768,0.74051,0.96999,0.49891,0.96594,0.00078616,0.00078616,0.00078616
110,591.187,0.76169,0.38485,0.90026,0.97199,0.97216,0.98718,0.74109,0.98534,0.43771,0.9643,0.00078418,0.00078418,0.00078418
111,599.649,0.73554,0.37155,0.89134,0.97989,0.97261,0.98979,0.7434,0.97719,0.40603,0.96504,0.0007822,0.0007822,0.0007822
112,610.203,0.75331,0.37541,0.89998,0.97263,0.98063,0.98965,0.74093,0.98603,0.41472,0.96565,0.00078022,0.00078022,0.00078022
113,620.701,0.73204,0.36483,0.88792,0.97131,0.98288,0.98651,0.7414,0.98312,0.42018,0.96586,0.00077824,0.00077824,0.00077824
114,631.143,0.76189,0.37454,0.89628,0.97745,0.96551,0.98901,0.73458,0.98184,0.4142,0.96289,0.00077626,0.00077626,0.00077626
115,642.085,0.74828,0.37033,0.89899,0.98773,0.97121,0.99092,0.74961,0.96502,0.39136,0.95909,0.00077428,0.00077428,0.00077428
116,653.52,0.73405,0.36628,0.89706,0.983,0.98435,0.98914,0.76102,0.94048,0.37908,0.94848,0.0007723,0.0007723,0.0007723
117,666.41,0.72637,0.36301,0.88446,0.97301,0.96295,0.98834,0.732,1.00803,0.4294,0.97746,0.00077032,0.00077032,0.00077032
118,672.532,0.72378,0.36851,0.89365,0.99003,0.98741,0.99241,0.75016,0.95395,0.37875,0.96607,0.00076834,0.00076834,0.00076834
