epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,352.105,0.65268,0.33538,0.86405,0.9958,0.99228,0.9949,0.80292,0.87371,0.35012,0.95273,0.00085348,0.00085348,0.00085348
76,356.844,0.64989,0.33265,0.86562,0.99533,0.9893,0.99451,0.79174,0.91044,0.35888,0.96036,0.0008515,0.0008515,0.0008515
77,361.539,0.65764,0.33625,0.86855,0.99567,0.9924,0.9946,0.79839,0.8777,0.3502,0.95235,0.00084952,0.00084952,0.00084952
78,366.262,0.65014,0.33233,0.86597,0.99633,0.99243,0.99486,0.80247,0.84279,0.33975,0.93671,0.00084754,0.00084754,0.00084754
79,370.933,0.65545,0.33254,0.87232,0.9969,0.99381,0.99485,0.79807,0.85152,0.34294,0.9496,0.00084556,0.00084556,0.00084556
80,375.817,0.64891,0.33818,0.86735,0.99079,0.99321,0.99325,0.79509,0.87677,0.34826,0.95128,0.00084358,0.00084358,0.00084358
81,380.485,0.65694,0.33903,0.8659,0.98635,0.98917,0.99267,0.78567,0.89129,0.35662,0.94896,0.0008416,0.0008416,0.0008416
82,385.191,0.64914,0.33475,0.86314,0.99682,0.99216,0.994,0.80511,0.82825,0.34012,0.93489,0.00083962,0.00083962,0.00083962
83,389.868,0.63192,0.32787,0.85963,0.99365,0.99242,0.99423,0.80585,0.8404,0.33521,0.93776,0.00083764,0.00083764,0.00083764
84,394.593,0.63922,0.32631,0.86254,0.98709,0.98578,0.99243,0.79128,0.86944,0.36154,0.95865,0.00083566,0.00083566,0.00083566
85,399.293,0.63576,0.32677,0.86014,0.99483,0.99311,0.99425,0.80185,0.82476,0.3383,0.93691,0.00083368,0.00083368,0.00083368
86,404.281,0.63256,0.32701,0.86035,0.99636,0.99374,0.9943,0.80379,0.86223,0.34584,0.95305,0.0008317,0.0008317,0.0008317
87,408.977,0.62424,0.32467,0.86197,0.99777,0.99492,0.9939,0.79833,0.86178,0.34472,0.94665,0.00082972,0.00082972,0.00082972
88,413.682,0.63274,0.33162,0.8647,0.98665,0.99134,0.9938,0.79753,0.88261,0.35861,0.95131,0.00082774,0.00082774,0.00082774
89,418.413,0.63297,0.32865,0.86113,0.99864,0.99415,0.99378,0.79621,0.8585,0.33792,0.94948,0.00082576,0.00082576,0.00082576
90,423.156,0.64871,0.33112,0.86737,0.99603,0.99025,0.99474,0.79815,0.85103,0.34499,0.94005,0.00082378,0.00082378,0.00082378
91,428.017,0.63525,0.32815,0.85555,0.99802,0.99359,0.99375,0.79087,0.88263,0.34979,0.95212,0.0008218,0.0008218,0.0008218
92,432.809,0.62655,0.32704,0.85704,0.98466,0.98618,0.98904,0.77262,0.92418,0.38509,0.9681,0.00081982,0.00081982,0.00081982
93,437.475,0.62604,0.32198,0.85614,0.99475,0.98803,0.99286,0.80377,0.85271,0.34287,0.94467,0.00081784,0.00081784,0.00081784
94,442.197,0.62893,0.32894,0.86094,0.98928,0.99143,0.9935,0.80395,0.8683,0.3566,0.9494,0.00081586,0.00081586,0.00081586
95,446.914,0.62754,0.33043,0.85753,0.99122,0.98766,0.99264,0.79828,0.84158,0.34365,0.94021,0.00081388,0.00081388,0.00081388
96,451.596,0.62291,0.32433,0.85852,0.99762,0.99441,0.99456,0.80023,0.84852,0.33668,0.94409,0.0008119,0.0008119,0.0008119
97,456.315,0.60199,0.31448,0.84862,0.99222,0.994,0.99375,0.79292,0.86332,0.34152,0.94575,0.00080992,0.00080992,0.00080992
98,461.037,0.61299,0.32428,0.85808,0.98785,0.9849,0.99128,0.79415,0.86727,0.35917,0.95477,0.00080794,0.00080794,0.00080794
99,465.723,0.62512,0.32746,0.85836,0.99047,0.98572,0.99023,0.79147,0.84941,0.341,0.94488,0.00080596,0.00080596,0.00080596
100,470.434,0.61807,0.3271,0.86011,0.9879,0.9901,0.99286,0.79095,0.88813,0.3608,0.96517,0.00080398,0.00080398,0.00080398
101,475.111,0.61308,0.319,0.85551,0.99178,0.99064,0.99379,0.79793,0.87632,0.34502,0.95847,0.000802,0.000802,0.000802
